goos: linux
goarch: amd64
pkg: github.com/puzpuzpuz/go-concurrent-map-bench
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkSyncMap_WarmUp_StringKeys/size=100/reads=100%-8         	1000000000	         3.253 ns/op	 307364380 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=100/reads=99%-8          	806191786	         4.194 ns/op	 238411378 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=100/reads=90%-8          	398699270	         8.696 ns/op	 114989942 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=100/reads=75%-8          	264851730	        13.54 ns/op	  73833383 ops/s	       8 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=1000/reads=100%-8        	1000000000	         3.353 ns/op	 298248636 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=1000/reads=99%-8         	811845936	         4.437 ns/op	 225355167 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=1000/reads=90%-8         	497049674	         7.270 ns/op	 137545300 ops/s	       4 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=1000/reads=75%-8         	346284108	        10.60 ns/op	  94312745 ops/s	      10 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=100000/reads=100%-8      	424899990	         8.486 ns/op	 117847187 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=100000/reads=99%-8       	423360730	         8.615 ns/op	 116083278 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=100000/reads=90%-8       	331327216	        10.83 ns/op	  92295939 ops/s	       4 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=100000/reads=75%-8       	259335962	        13.99 ns/op	  71495667 ops/s	      10 B/op	       0 allocs/op
